"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"14/01/2022","3.936,5","3.884,0","3.936,5","3.871,0","2,04M","0,86%"
"13/01/2022","3.903,0","3.893,0","3.913,2","3.872,5","1,92M","0,03%"
"12/01/2022","3.902,0","3.958,0","3.958,5","3.891,0","2,49M","-1,01%"
"11/01/2022","3.942,0","3.941,5","3.966,0","3.907,5","2,35M","-0,62%"
"10/01/2022","3.966,5","3.950,0","3.976,0","3.916,0","3,84M","0,81%"
"07/01/2022","3.934,5","3.900,0","3.934,5","3.897,5","2,56M","0,43%"
"06/01/2022","3.917,5","3.927,5","3.946,9","3.903,9","2,58M","-1,05%"
"05/01/2022","3.959,0","3.979,0","3.985,0","3.942,0","1,75M","-0,93%"
"04/01/2022","3.996,0","3.957,5","3.998,0","3.951,0","3,17M","1,28%"
"31/12/2021","3.945,5","3.946,5","3.960,5","3.922,5","937,48K","-0,53%"
"30/12/2021","3.966,5","3.982,0","3.982,0","3.961,0","1,14M","-0,11%"
"29/12/2021","3.971,0","3.982,0","4.004,2","3.963,5","1,74M","0,47%"
"24/12/2021","3.952,5","3.948,5","3.965,0","3.947,0","346,95K","-0,01%"
"23/12/2021","3.953,0","3.916,0","3.953,5","3.909,5","2,59M","0,69%"
"22/12/2021","3.926,0","3.935,5","3.939,3","3.889,5","1,96M","-0,37%"
"21/12/2021","3.940,5","3.987,5","3.992,0","3.925,0","2,23M","-1,03%"
"20/12/2021","3.981,5","3.958,5","3.989,5","3.932,5","3,74M","-0,01%"
"17/12/2021","3.982,0","3.995,0","4.011,5","3.965,5","9,26M","-0,01%"
"16/12/2021","3.982,5","3.983,0","4.000,0","3.949,5","4,34M","0,33%"
"15/12/2021","3.969,5","4.010,5","4.023,5","3.958,5","2,75M","-1,29%"
"14/12/2021","4.021,5","4.028,4","4.051,5","4.004,5","2,74M","0,00%"
"13/12/2021","4.021,5","4.010,5","4.021,5","3.985,5","3,87M","0,15%"
"10/12/2021","4.015,5","3.989,0","4.027,0","3.980,0","1,99M","0,84%"
"09/12/2021","3.982,0","3.995,5","3.995,5","3.961,5","2,80M","0,72%"
"08/12/2021","3.953,5","3.958,0","3.996,5","3.951,5","3,80M","0,01%"
"07/12/2021","3.953,0","3.960,0","3.968,5","3.919,5","3,58M","0,66%"
"06/12/2021","3.927,0","3.909,5","3.934,0","3.878,0","2,90M","1,24%"
"03/12/2021","3.879,0","3.883,0","3.895,0","3.864,0","3,20M","0,18%"
"02/12/2021","3.872,0","3.832,0","3.905,0","3.828,0","3,92M","0,45%"
"01/12/2021","3.854,5","3.839,0","3.873,0","3.810,0","4,88M","-0,12%"
"30/11/2021","3.859,0","3.919,5","3.928,0","3.859,0","9,00M","-1,58%"
"29/11/2021","3.921,0","3.931,5","3.951,0","3.898,4","4,54M","-0,77%"
"26/11/2021","3.951,5","3.918,0","3.964,0","3.888,5","5,20M","-0,57%"
"25/11/2021","3.974,0","3.910,0","3.984,0","3.901,5","3,73M","1,68%"
"24/11/2021","3.908,5","3.904,0","3.914,5","3.877,0","4,62M","0,15%"
"23/11/2021","3.902,5","3.843,0","3.907,0","3.842,3","2,87M","1,15%"
"22/11/2021","3.858,0","3.831,5","3.877,5","3.827,5","2,51M","0,23%"
"19/11/2021","3.849,0","3.801,0","3.874,5","3.792,0","3,95M","0,68%"
"18/11/2021","3.823,0","3.850,5","3.867,0","3.823,0","2,70M","-0,84%"
"17/11/2021","3.855,5","3.857,5","3.872,1","3.824,8","3,49M","-0,49%"
"16/11/2021","3.874,5","3.886,5","3.903,3","3.852,0","3,00M","-0,84%"
"15/11/2021","3.907,5","3.915,0","3.920,5","3.850,3","2,18M","-0,20%"
"12/11/2021","3.915,5","3.900,0","3.936,0","3.898,5","2,73M","-0,09%"
"11/11/2021","3.919,0","3.927,5","3.947,0","3.905,5","2,74M","0,03%"
"10/11/2021","3.918,0","3.912,5","3.923,0","3.885,0","2,41M","0,27%"
"09/11/2021","3.907,5","3.881,5","3.914,0","3.851,7","2,67M","0,71%"
"08/11/2021","3.880,0","3.909,0","3.909,0","3.862,5","2,52M","-0,51%"
"05/11/2021","3.900,0","3.901,5","3.932,0","3.894,2","4,03M","0,00%"
"04/11/2021","3.900,0","3.912,5","3.946,5","3.880,5","5,97M","-1,13%"
"03/11/2021","3.944,5","3.944,0","3.960,5","3.928,0","1,95M","-0,37%"
"02/11/2021","3.959,0","3.935,0","3.967,0","3.907,5","1,81M","0,75%"
"01/11/2021","3.929,5","3.945,0","3.950,0","3.899,5","2,09M","0,45%"
"29/10/2021","3.912,0","3.889,5","3.915,5","3.858,0","3,24M","0,31%"
"28/10/2021","3.900,0","3.884,0","3.911,0","3.877,0","2,16M","0,18%"
"27/10/2021","3.893,0","3.921,0","3.937,3","3.892,0","2,21M","-0,64%"
"26/10/2021","3.918,0","3.903,5","3.924,0","3.886,5","1,92M","0,99%"
"25/10/2021","3.879,5","3.900,0","3.928,0","3.871,0","2,20M","-0,35%"
"22/10/2021","3.893,0","3.880,5","3.915,3","3.867,5","1,82M","0,76%"
"21/10/2021","3.863,5","3.870,0","3.948,5","3.831,5","3,72M","1,17%"
"20/10/2021","3.819,0","3.816,5","3.846,5","3.806,0","2,47M","0,84%"
"19/10/2021","3.787,0","3.840,0","3.840,5","3.780,0","3,13M","-1,34%"
"18/10/2021","3.838,5","3.833,0","3.856,8","3.822,0","2,21M","-0,39%"
"15/10/2021","3.853,5","3.875,0","3.879,0","3.807,8","3,35M","-0,68%"
"14/10/2021","3.880,0","3.880,5","3.883,0","3.852,5","2,14M","0,38%"
"13/10/2021","3.865,5","3.833,5","3.882,0","3.816,0","3,85M","0,36%"
"12/10/2021","3.851,5","3.847,0","3.863,3","3.828,5","1,95M","-0,35%"
"11/10/2021","3.865,0","3.851,0","3.873,5","3.831,3","1,91M","-0,04%"
"08/10/2021","3.866,5","3.875,0","3.889,5","3.842,5","2,49M","-0,19%"
"07/10/2021","3.874,0","3.896,0","3.925,0","3.874,0","2,34M","-0,10%"
"06/10/2021","3.878,0","3.891,5","3.900,0","3.836,5","3,07M","-1,03%"
"05/10/2021","3.918,5","3.950,0","3.961,0","3.916,8","2,79M","-0,76%"
"04/10/2021","3.948,5","3.972,0","3.977,0","3.917,5","2,84M","-0,62%"
"01/10/2021","3.973,0","3.994,0","4.048,5","3.971,5","2,70M","-0,80%"
"30/09/2021","4.005,0","4.078,0","4.081,5","4.004,5","3,30M","-1,44%"
"29/09/2021","4.063,5","4.042,0","4.074,5","4.027,1","2,98M","1,27%"
"28/09/2021","4.012,5","3.957,5","4.042,5","3.948,5","3,08M","1,20%"
"27/09/2021","3.965,0","4.005,0","4.008,0","3.956,6","2,36M","-0,63%"
"24/09/2021","3.990,0","3.988,5","4.009,5","3.977,0","2,09M","-0,03%"
"23/09/2021","3.991,0","4.026,0","4.028,5","3.991,0","1,73M","-0,71%"
"22/09/2021","4.019,5","4.008,0","4.048,5","4.002,5","2,17M","0,16%"
"21/09/2021","4.013,0","3.988,0","4.035,0","3.969,5","2,24M","0,63%"
"20/09/2021","3.988,0","3.925,0","3.997,0","3.916,5","4,98M","1,79%"
"17/09/2021","3.918,0","3.970,5","3.976,5","3.915,0","7,19M","-0,71%"
"16/09/2021","3.946,0","3.935,0","3.971,7","3.926,3","2,97M","-0,58%"
"15/09/2021","3.969,0","4.001,5","4.014,5","3.969,0","3,14M","-0,96%"
"14/09/2021","4.007,5","3.999,0","4.045,5","3.990,0","2,38M","0,24%"
"13/09/2021","3.998,0","3.961,5","4.010,7","3.960,0","2,01M","0,99%"
"10/09/2021","3.959,0","3.964,0","3.978,3","3.942,5","2,06M","-0,16%"
"09/09/2021","3.965,5","4.007,5","4.029,5","3.965,5","2,20M","-1,42%"
"08/09/2021","4.022,5","3.977,5","4.032,0","3.940,0","3,30M","0,84%"
"07/09/2021","3.989,0","4.001,0","4.005,5","3.978,9","2,01M","-0,32%"
"06/09/2021","4.002,0","3.993,0","4.009,5","3.967,5","1,47M","0,60%"
"03/09/2021","3.978,0","3.969,0","4.018,5","3.952,5","2,74M","0,43%"
"02/09/2021","3.961,0","4.011,5","4.012,5","3.924,5","3,75M","-2,05%"
"01/09/2021","4.044,0","4.047,5","4.070,5","4.030,5","2,27M","-0,05%"
"31/08/2021","4.046,0","4.054,5","4.066,0","4.017,0","3,53M","0,02%"
"27/08/2021","4.045,0","4.069,0","4.071,5","4.045,0","1,73M","-0,43%"
"26/08/2021","4.062,5","4.023,0","4.072,0","4.008,5","1,80M","0,56%"
"25/08/2021","4.040,0","4.077,0","4.088,5","4.026,5","1,84M","-1,04%"
"24/08/2021","4.082,5","4.105,5","4.119,0","4.051,5","2,57M","-0,80%"
"23/08/2021","4.115,5","4.144,5","4.149,5","4.095,5","1,92M","-0,48%"
"20/08/2021","4.135,5","4.117,0","4.154,0","4.079,5","1,83M","0,67%"
"19/08/2021","4.108,0","4.080,5","4.109,0","4.053,5","1,51M","0,16%"
"18/08/2021","4.101,5","4.159,0","4.169,0","4.098,5","1,56M","-1,49%"
"17/08/2021","4.163,5","4.119,5","4.163,5","4.099,0","1,89M","0,81%"
"16/08/2021","4.130,0","4.149,5","4.164,0","4.081,5","1,96M","-0,70%"
"13/08/2021","4.159,0","4.140,5","4.170,5","4.137,0","1,64M","0,70%"
"12/08/2021","4.130,0","4.130,0","4.165,0","4.123,4","1,75M","-0,16%"
"11/08/2021","4.136,5","4.123,0","4.147,2","4.112,5","1,85M","0,72%"
"10/08/2021","4.107,0","4.130,5","4.136,5","4.101,5","2,62M","-0,42%"
"09/08/2021","4.124,5","4.092,0","4.129,0","4.072,2","1,64M","0,79%"
"06/08/2021","4.092,0","4.101,5","4.105,8","4.076,0","2,16M","-0,20%"
"05/08/2021","4.100,0","4.111,0","4.134,5","4.094,0","1,92M","-0,59%"
"04/08/2021","4.124,5","4.164,0","4.182,5","4.124,5","2,04M","-0,75%"
"03/08/2021","4.155,5","4.130,5","4.185,0","4.124,0","1,97M","0,54%"
"02/08/2021","4.133,0","4.171,0","4.171,0","4.094,0","2,08M","-0,43%"
"30/07/2021","4.151,0","4.095,0","4.160,5","4.086,0","3,29M","1,07%"
"29/07/2021","4.107,0","4.055,0","4.113,5","4.038,5","2,74M","1,42%"
"28/07/2021","4.049,5","4.043,0","4.071,7","4.037,5","2,96M","-0,05%"
"27/07/2021","4.051,5","4.011,5","4.092,5","3.986,0","2,92M","0,51%"
"26/07/2021","4.031,0","4.111,5","4.141,5","4.030,5","3,78M","-2,73%"
"23/07/2021","4.144,0","4.035,0","4.147,5","4.019,7","3,19M","2,31%"
"22/07/2021","4.050,5","4.190,0","4.194,8","4.031,0","7,02M","-5,87%"
"21/07/2021","4.303,0","4.330,0","4.354,0","4.298,5","3,00M","-0,43%"
"20/07/2021","4.321,5","4.369,0","4.388,0","4.316,5","3,93M","-0,56%"
"19/07/2021","4.346,0","4.356,5","4.369,0","4.312,5","2,43M","-0,28%"
"16/07/2021","4.358,0","4.318,0","4.359,0","4.301,3","2,81M","1,67%"
"15/07/2021","4.286,5","4.322,5","4.342,0","4.277,5","1,95M","-0,43%"
"14/07/2021","4.305,0","4.322,5","4.330,0","4.273,0","2,07M","-0,82%"
"13/07/2021","4.340,5","4.309,0","4.342,5","4.290,0","1,32M","0,77%"
"12/07/2021","4.307,5","4.275,5","4.309,5","4.266,0","2,47M","0,29%"
"09/07/2021","4.295,0","4.315,5","4.327,0","4.273,7","2,24M","-0,05%"
"08/07/2021","4.297,0","4.340,5","4.343,7","4.277,0","2,29M","-1,44%"
"07/07/2021","4.360,0","4.296,5","4.364,0","4.272,5","1,95M","1,58%"
"06/07/2021","4.292,0","4.239,5","4.292,0","4.239,0","2,08M","0,64%"
"05/07/2021","4.264,5","4.257,5","4.264,5","4.231,1","1,17M","-0,13%"
"02/07/2021","4.270,0","4.274,0","4.288,0","4.249,8","1,77M","0,21%"
"01/07/2021","4.261,0","4.232,0","4.273,7","4.226,0","2,14M","0,72%"
"30/06/2021","4.230,5","4.264,0","4.275,5","4.219,0","3,15M","-1,03%"
"29/06/2021","4.274,5","4.300,0","4.300,0","4.269,5","1,34M","-0,22%"
"28/06/2021","4.284,0","4.263,0","4.286,0","4.245,0","2,00M","0,59%"
"25/06/2021","4.259,0","4.250,0","4.267,0","4.225,0","2,25M","0,25%"
"24/06/2021","4.248,5","4.269,5","4.302,0","4.248,5","3,27M","-0,31%"
"23/06/2021","4.261,5","4.300,5","4.325,0","4.261,5","2,52M","-1,23%"
"22/06/2021","4.314,5","4.300,0","4.337,5","4.295,0","2,22M","0,23%"
"21/06/2021","4.304,5","4.295,5","4.349,9","4.284,8","1,79M","-0,06%"
"18/06/2021","4.307,0","4.360,5","4.374,5","4.286,5","8,72M","-1,03%"
"17/06/2021","4.352,0","4.312,5","4.359,0","4.293,1","2,45M","0,12%"
"16/06/2021","4.347,0","4.328,0","4.382,0","4.325,5","2,42M","0,22%"
"15/06/2021","4.337,5","4.317,5","4.360,6","4.311,5","2,53M","0,99%"
"14/06/2021","4.295,0","4.290,0","4.312,0","4.267,5","2,10M","0,50%"
"11/06/2021","4.273,5","4.275,0","4.291,0","4.259,8","2,12M","-0,16%"
"10/06/2021","4.280,5","4.264,0","4.304,0","4.255,5","2,63M","0,11%"
"09/06/2021","4.276,0","4.273,5","4.291,4","4.259,5","2,31M","-0,02%"
"08/06/2021","4.277,0","4.276,0","4.306,5","4.269,5","2,47M","0,26%"
"07/06/2021","4.266,0","4.288,5","4.288,5","4.253,5","1,77M","-0,16%"
"04/06/2021","4.273,0","4.280,0","4.303,5","4.249,5","1,63M","0,12%"
"03/06/2021","4.268,0","4.248,0","4.276,0","4.226,0","1,92M","0,42%"
"02/06/2021","4.250,0","4.241,5","4.372,2","4.232,5","1,91M","0,24%"
"01/06/2021","4.240,0","4.238,0","4.264,5","4.203,5","2,23M","0,32%"
"28/05/2021","4.226,5","4.190,0","4.247,0","4.175,5","3,85M","0,87%"
"27/05/2021","4.190,0","4.293,5","4.302,0","4.190,0","10,29M","-2,64%"
"26/05/2021","4.303,5","4.314,5","4.345,5","4.300,5","3,19M","-0,07%"
"25/05/2021","4.306,5","4.277,5","4.310,0","4.268,7","2,76M","0,84%"
"24/05/2021","4.270,5","4.290,5","4.304,0","4.268,5","2,10M","-0,16%"
"21/05/2021","4.277,5","4.289,5","4.301,5","4.256,5","2,86M","-0,44%"
"20/05/2021","4.296,5","4.274,5","4.296,5","4.256,5","2,21M","0,35%"
"19/05/2021","4.281,5","4.265,5","4.303,0","4.229,5","2,46M","0,06%"
"18/05/2021","4.279,0","4.326,0","4.327,0","4.279,0","2,50M","-0,73%"
"17/05/2021","4.310,5","4.300,0","4.327,0","4.284,0","1,72M","0,38%"
"14/05/2021","4.294,0","4.215,8","4.335,5","4.215,8","2,24M","0,41%"
"13/05/2021","4.276,5","4.237,0","4.283,6","4.203,5","2,10M","0,75%"
"12/05/2021","4.244,5","4.225,0","4.272,5","4.212,0","2,42M","0,57%"
"11/05/2021","4.220,5","4.254,0","4.273,5","4.189,5","2,84M","-1,36%"
"10/05/2021","4.278,5","4.244,0","4.339,4","4.232,1","3,32M","0,13%"
"07/05/2021","4.273,0","4.299,5","4.314,3","4.259,0","2,54M","-0,73%"
"06/05/2021","4.304,5","4.224,0","4.304,5","4.223,0","3,62M","1,97%"
"05/05/2021","4.221,5","4.183,5","4.245,0","4.157,5","2,49M","0,42%"
"04/05/2021","4.204,0","4.247,5","4.269,0","4.195,0","3,11M","-0,65%"
"30/04/2021","4.231,5","4.228,5","4.262,2","4.192,5","3,15M","0,44%"
"29/04/2021","4.213,0","4.132,5","4.240,7","4.130,0","4,42M","3,32%"
"28/04/2021","4.077,5","4.050,5","4.100,5","4.047,5","2,33M","0,62%"
"27/04/2021","4.052,5","4.075,5","4.104,0","4.045,0","2,15M","-0,82%"
"26/04/2021","4.086,0","4.084,5","4.104,9","4.056,5","1,58M","-0,67%"
"23/04/2021","4.113,5","4.110,0","4.133,5","4.072,0","2,38M","-0,44%"
"22/04/2021","4.131,5","4.114,5","4.214,6","4.081,0","3,85M","-0,19%"
"21/04/2021","4.139,5","4.130,5","4.145,5","4.100,1","2,47M","0,28%"
"20/04/2021","4.128,0","4.124,0","4.145,5","4.107,0","3,98M","-0,10%"
"19/04/2021","4.132,0","4.149,0","4.178,0","4.116,0","2,41M","-0,77%"
"16/04/2021","4.164,0","4.169,0","4.177,4","4.147,5","2,91M","-0,04%"
"15/04/2021","4.165,5","4.121,0","4.184,5","4.110,0","2,68M","1,13%"
"14/04/2021","4.119,0","4.123,5","4.145,0","4.096,0","2,25M","-0,46%"
"13/04/2021","4.138,0","4.128,5","4.147,5","4.106,0","1,81M","0,06%"
"12/04/2021","4.135,5","4.124,5","4.140,0","4.101,5","1,68M","0,11%"
"09/04/2021","4.131,0","4.161,5","4.164,5","4.113,7","2,70M","-0,84%"
"08/04/2021","4.166,0","4.095,5","4.188,6","4.073,0","4,19M","0,79%"
"07/04/2021","4.133,5","4.092,5","4.150,0","4.090,0","2,34M","1,10%"
"06/04/2021","4.088,5","4.049,0","4.095,5","4.041,7","2,30M","1,65%"
"01/04/2021","4.022,0","4.075,0","4.084,5","4.016,0","2,89M","-0,84%"
"31/03/2021","4.056,0","4.061,0","4.104,0","4.051,0","3,96M","-0,15%"
"30/03/2021","4.062,0","4.115,0","4.126,0","4.052,0","2,64M","-0,88%"
"29/03/2021","4.098,0","4.066,0","4.102,0","4.040,0","2,64M","1,34%"
"26/03/2021","4.044,0","4.061,0","4.078,6","4.023,0","2,54M","-0,39%"
"25/03/2021","4.060,0","4.058,0","4.110,0","4.044,5","2,67M","0,10%"
"24/03/2021","4.056,0","4.078,0","4.084,0","4.024,0","2,54M","-0,44%"
"23/03/2021","4.074,0","3.991,0","4.085,0","3.991,0","4,01M","1,29%"
"22/03/2021","4.022,0","3.958,0","4.027,0","3.929,3","3,83M","1,77%"
"19/03/2021","3.952,0","3.991,0","4.015,0","3.952,0","9,23M","-1,30%"
"18/03/2021","4.004,0","4.016,0","4.035,0","3.984,0","2,94M","-0,52%"
"17/03/2021","4.025,0","4.015,0","4.039,0","4.005,0","3,50M","0,27%"
"16/03/2021","4.014,0","3.987,0","4.027,0","3.963,0","3,42M","1,03%"
"15/03/2021","3.973,0","3.962,0","4.008,0","3.952,0","2,78M","0,58%"
"12/03/2021","3.950,0","3.918,0","3.961,5","3.907,0","2,94M","0,87%"
"11/03/2021","3.916,0","3.955,0","3.956,0","3.906,9","2,90M","-0,61%"
"10/03/2021","3.940,0","3.905,0","3.951,0","3.892,0","2,54M","0,59%"
"09/03/2021","3.917,0","3.895,0","4.042,7","3.889,0","2,88M","0,69%"
"08/03/2021","3.890,0","3.879,0","3.908,5","3.837,0","4,30M","-0,03%"
"05/03/2021","3.891,0","3.843,0","3.903,0","3.808,0","4,12M","0,96%"
"04/03/2021","3.854,0","3.811,0","3.890,0","3.802,0","3,45M","1,10%"
"03/03/2021","3.812,0","3.829,0","3.853,0","3.771,0","3,32M","0,00%"
"02/03/2021","3.812,0","3.790,0","3.840,0","3.778,0","4,16M","1,01%"
"01/03/2021","3.774,0","3.740,0","3.794,7","3.721,0","4,74M","1,10%"
"26/02/2021","3.733,0","3.827,0","3.868,0","3.730,0","6,49M","-2,30%"
"25/02/2021","3.821,0","3.808,0","3.840,0","3.800,0","2,77M","-0,47%"
"24/02/2021","3.839,0","3.905,0","3.908,0","3.811,0","4,78M","-2,07%"
"23/02/2021","3.920,0","3.838,0","3.920,0","3.802,0","3,91M","2,38%"
"22/02/2021","3.829,0","3.883,0","3.909,0","3.828,8","3,19M","-1,95%"
"19/02/2021","3.905,0","3.969,0","3.981,0","3.905,0","4,12M","-1,61%"
"18/02/2021","3.969,0","3.975,0","3.982,0","3.942,0","3,67M","-0,28%"
"17/02/2021","3.980,0","3.981,0","3.995,2","3.939,0","3,18M","-0,65%"
"16/02/2021","4.006,0","3.996,0","4.030,0","3.979,0","3,93M","0,58%"
"15/02/2021","3.983,0","3.960,0","4.001,0","3.915,0","2,62M","0,56%"
"12/02/2021","3.961,0","3.919,0","3.970,8","3.905,0","3,00M","1,49%"
"11/02/2021","3.903,0","3.916,0","3.956,0","3.884,0","4,95M","-0,89%"
"10/02/2021","3.938,0","3.947,0","3.964,0","3.929,9","2,79M","-0,30%"
"09/02/2021","3.950,0","3.981,0","3.981,0","3.908,0","3,90M","-0,13%"
"08/02/2021","3.955,0","4.021,0","4.030,0","3.955,0","3,14M","-0,63%"
"05/02/2021","3.980,0","4.076,0","4.163,5","3.980,0","6,91M","-2,14%"
"04/02/2021","4.067,0","4.250,0","4.335,0","4.050,0","6,08M","-6,20%"
"03/02/2021","4.336,0","4.292,0","4.364,0","4.275,0","2,65M","0,91%"
"02/02/2021","4.297,0","4.272,0","4.310,0","4.261,0","2,12M","0,51%"
"01/02/2021","4.275,0","4.305,0","4.305,0","4.245,0","2,22M","0,83%"
"29/01/2021","4.240,0","4.287,0","4.293,7","4.220,0","3,87M","-1,92%"
"28/01/2021","4.323,0","4.350,0","4.385,0","4.303,9","2,90M","-1,23%"
"27/01/2021","4.377,0","4.394,0","4.455,0","4.373,0","3,71M","-1,04%"
"26/01/2021","4.423,0","4.456,0","4.497,0","4.415,0","2,13M","-0,94%"
"25/01/2021","4.465,0","4.378,0","4.482,0","4.365,0","2,72M","1,99%"
"22/01/2021","4.378,0","4.365,0","4.388,0","4.338,9","1,87M","0,57%"
"21/01/2021","4.353,0","4.355,0","4.376,0","4.333,9","2,22M","0,00%"
"20/01/2021","4.353,0","4.350,0","4.374,0","4.321,0","2,47M","-0,64%"
"19/01/2021","4.381,0","4.371,0","4.410,0","4.356,0","2,02M","0,44%"
"18/01/2021","4.362,0","4.380,0","4.403,7","4.358,0","941,35K","-0,73%"
"15/01/2021","4.394,0","4.355,0","4.401,1","4.351,0","2,82M","0,92%"
"14/01/2021","4.354,0","4.350,0","4.374,0","4.336,0","4,53M","0,05%"
"13/01/2021","4.352,0","4.312,0","4.355,0","4.284,0","3,10M","0,72%"
"12/01/2021","4.321,0","4.380,0","4.411,0","4.296,0","2,94M","-2,15%"
"11/01/2021","4.416,0","4.450,0","4.464,0","4.413,0","2,00M","-0,76%"
"08/01/2021","4.450,0","4.438,0","4.464,0","4.377,6","9,55M","0,07%"
"07/01/2021","4.447,0","4.478,0","4.504,0","4.410,0","6,97M","-0,45%"
"06/01/2021","4.467,0","4.436,0","4.505,0","4.394,6","4,94M","0,70%"
"05/01/2021","4.436,0","4.440,0","4.471,0","4.413,0","2,87M","-0,56%"
"04/01/2021","4.461,0","4.447,0","4.519,0","4.427,0","2,97M","1,57%"
"31/12/2020","4.392,0","4.438,0","4.440,0","4.361,0","2,04M","-1,99%"
"30/12/2020","4.481,0","4.446,0","4.486,0","4.429,0","2,18M","0,45%"
"29/12/2020","4.461,0","4.408,0","4.480,7","4.387,0","2,39M","3,50%"
"24/12/2020","4.310,0","4.300,0","4.324,0","4.275,8","555,08K","-0,02%"
"23/12/2020","4.311,0","4.332,0","4.333,0","4.289,0","1,88M","-0,71%"
"22/12/2020","4.342,0","4.294,0","4.362,8","4.291,0","2,99M","1,14%"
"21/12/2020","4.293,0","4.362,0","4.384,0","4.289,0","3,02M","-1,26%"
"18/12/2020","4.348,0","4.362,0","4.382,0","4.332,0","5,69M","0,42%"
"17/12/2020","4.330,0","4.367,7","4.408,0","4.233,6","3,63M","-1,16%"
"16/12/2020","4.381,0","4.318,0","4.383,0","4.289,8","4,37M","1,84%"
"15/12/2020","4.302,0","4.366,0","4.405,0","4.302,0","4,20M","-1,40%"
"14/12/2020","4.363,0","4.411,0","4.414,0","4.362,0","3,73M","-1,29%"
"11/12/2020","4.420,0","4.393,0","4.438,0","4.375,0","3,59M","0,57%"
"10/12/2020","4.395,0","4.400,0","4.434,0","4.366,0","5,17M","0,99%"
"09/12/2020","4.352,0","4.379,0","4.394,0","4.269,0","5,58M","-0,05%"
"08/12/2020","4.354,0","4.332,0","4.358,0","4.279,0","5,69M","0,44%"
"07/12/2020","4.335,0","4.360,0","4.390,0","4.302,8","5,32M","0,21%"
"04/12/2020","4.326,0","4.310,0","4.365,0","4.254,8","6,57M","1,00%"
"03/12/2020","4.283,0","4.420,0","4.445,0","4.275,0","6,59M","-2,64%"
"02/12/2020","4.399,0","4.434,0","4.480,0","4.372,0","5,69M","-0,79%"
"01/12/2020","4.434,0","4.566,0","4.595,0","4.430,0","6,01M","-3,00%"
"30/11/2020","4.571,0","4.525,0","4.666,0","4.522,0","13,66M","-0,33%"
"27/11/2020","4.586,0","4.577,0","4.620,0","4.507,0","101,17M","0,09%"
"26/11/2020","4.582,0","4.640,0","4.653,1","4.529,0","3,82M","0,48%"
"25/11/2020","4.560,0","4.345,0","4.573,0","4.322,0","5,53M","5,07%"
"24/11/2020","4.340,0","4.388,0","4.400,9","4.323,0","3,71M","-0,62%"
"23/11/2020","4.367,0","4.458,0","4.466,0","4.351,0","3,76M","-2,00%"
"20/11/2020","4.456,0","4.464,0","4.490,0","4.440,0","3,49M","-0,16%"
"19/11/2020","4.463,0","4.486,0","4.528,0","4.453,0","2,42M","-1,30%"
"18/11/2020","4.522,0","4.506,0","4.576,0","4.500,0","2,44M","-0,94%"
"17/11/2020","4.565,0","4.602,0","4.666,7","4.554,0","4,16M","-1,66%"
"16/11/2020","4.642,0","4.779,0","4.779,0","4.640,0","3,14M","-2,25%"
"13/11/2020","4.749,0","4.788,0","4.788,0","4.747,0","1,62M","-1,00%"
"12/11/2020","4.797,0","4.770,0","4.834,0","4.764,0","1,90M","0,29%"
"11/11/2020","4.783,0","4.672,0","4.810,0","4.666,0","2,27M","2,18%"
"10/11/2020","4.681,0","4.676,0","4.735,0","4.631,0","2,90M","-0,78%"
"09/11/2020","4.718,0","4.735,0","4.863,0","4.703,4","3,06M","0,62%"
"06/11/2020","4.689,0","4.632,0","4.707,0","4.609,0","2,31M","0,45%"
"05/11/2020","4.668,0","4.689,0","4.745,0","4.652,0","2,95M","0,11%"
"04/11/2020","4.663,0","4.528,0","4.666,0","4.497,0","2,34M","2,42%"
"03/11/2020","4.553,0","4.482,0","4.554,0","4.458,0","2,38M","1,65%"
"02/11/2020","4.479,0","4.408,0","4.489,0","4.383,0","2,02M","1,70%"
"30/10/2020","4.404,0","4.418,0","4.427,6","4.372,0","3,15M","-1,32%"
"29/10/2020","4.463,0","4.465,0","4.508,0","4.415,0","3,08M","-1,72%"
"28/10/2020","4.541,0","4.653,0","4.665,0","4.476,0","2,75M","-3,16%"
"27/10/2020","4.689,0","4.665,0","4.704,0","4.578,1","2,62M","0,93%"
"26/10/2020","4.646,0","4.655,0","4.701,0","4.619,0","1,75M","-1,02%"
"23/10/2020","4.694,0","4.693,0","4.744,0","4.659,8","1,65M","-0,57%"
"22/10/2020","4.721,0","4.721,0","4.767,0","4.681,0","1,96M","0,38%"
"21/10/2020","4.703,0","4.849,0","4.852,0","4.692,0","2,03M","-2,75%"
"20/10/2020","4.836,0","4.793,0","4.864,0","4.764,0","1,62M","0,71%"
"19/10/2020","4.802,0","4.877,0","4.907,0","4.797,0","1,63M","-1,32%"
"16/10/2020","4.866,0","4.839,0","4.883,0","4.829,0","2,19M","0,85%"
"15/10/2020","4.825,0","4.857,0","4.873,0","4.800,0","2,70M","-1,37%"
"14/10/2020","4.892,0","4.902,0","4.944,0","4.853,0","3,96M","0,37%"
