nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2010;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;9203;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;11739;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;13969;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;1167;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;117;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;2853;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;6974;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;9068;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;450000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2011;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;10025;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;12810;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;15579;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;1247;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;112;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;3160;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;7907;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;9670;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;460000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2012;Tahun;-;"Gulden Belanda"
