Date,Open,High,Low,Close,Adj Close,Volume
2019-08-13,8995.000000,8995.000000,8820.000000,8855.000000,8282.799805,11396000
2019-08-14,8940.000000,8995.000000,8795.000000,8980.000000,8399.721680,7387500
2019-08-15,8820.000000,8940.000000,8800.000000,8940.000000,8362.304688,10298000
2019-08-16,8990.000000,9000.000000,8880.000000,8995.000000,8413.751953,6083000
2019-08-19,9020.000000,9020.000000,8885.000000,8900.000000,8324.891602,6630500
2019-08-20,9000.000000,9050.000000,8995.000000,9035.000000,8451.166992,11163000
2019-08-21,9040.000000,9045.000000,8960.000000,8975.000000,8395.044922,9075500
2019-08-22,9000.000000,9060.000000,8995.000000,9060.000000,8474.551758,7765500
2019-08-23,9060.000000,9200.000000,9030.000000,9165.000000,8572.766602,9615000
2019-08-26,9000.000000,9180.000000,8930.000000,9175.000000,8582.120117,7562500
2019-08-27,9200.000000,9510.000000,9190.000000,9455.000000,8844.027344,30809500
2019-08-28,9455.000000,9615.000000,9450.000000,9575.000000,8956.273438,17452000
2019-08-29,9600.000000,9615.000000,9510.000000,9570.000000,8951.595703,11929000
2019-08-30,9595.000000,9795.000000,9465.000000,9770.000000,9138.671875,18651000
2019-09-02,9745.000000,9745.000000,9580.000000,9590.000000,8970.303711,7859000
2019-09-03,9590.000000,9695.000000,9470.000000,9495.000000,8881.443359,8994500
2019-09-04,9465.000000,9600.000000,9405.000000,9515.000000,8900.150391,6995500
2019-09-05,9515.000000,9615.000000,9445.000000,9605.000000,8984.333984,10878500
2019-09-06,9555.000000,9555.000000,9410.000000,9410.000000,8801.934570,6405500
2019-09-09,9505.000000,9565.000000,9425.000000,9540.000000,8923.536133,5419000
2019-09-10,9525.000000,9530.000000,9440.000000,9530.000000,8914.180664,7449000
2019-09-11,9480.000000,9480.000000,9270.000000,9325.000000,8722.427734,15294000
2019-09-12,9370.000000,9380.000000,9180.000000,9215.000000,8619.536133,7347000
2019-09-13,9215.000000,9320.000000,9215.000000,9320.000000,8717.750977,4853500
2019-09-16,9325.000000,9390.000000,9260.000000,9390.000000,8783.227539,9070000
2019-09-17,9420.000000,9420.000000,9350.000000,9390.000000,8783.227539,13025000
2019-09-18,9345.000000,9390.000000,9310.000000,9335.000000,8731.781250,8172500
2019-09-19,9385.000000,9385.000000,9310.000000,9315.000000,8713.074219,5096000
2019-09-20,9315.000000,9340.000000,9230.000000,9230.000000,8633.567383,17498000
2019-09-23,9390.000000,9460.000000,9320.000000,9460.000000,8848.703125,7890500
2019-09-24,9460.000000,9460.000000,9280.000000,9455.000000,8844.027344,7827500
2019-09-25,9450.000000,9450.000000,9300.000000,9400.000000,8792.582031,7335500
2019-09-26,9400.000000,9400.000000,9335.000000,9350.000000,8745.811523,8141500
2019-09-27,9350.000000,9440.000000,9345.000000,9400.000000,8792.582031,4740000
2019-09-30,9350.000000,9350.000000,9240.000000,9300.000000,8699.042969,16251500
2019-10-01,9325.000000,9330.000000,9225.000000,9240.000000,8642.920898,4559000
2019-10-02,9240.000000,9330.000000,9090.000000,9090.000000,8502.613281,11275500
2019-10-03,9080.000000,9100.000000,8955.000000,9015.000000,8432.458984,4972500
2019-10-04,9100.000000,9190.000000,9015.000000,9085.000000,8497.936523,3978500
2019-10-07,9085.000000,9090.000000,8800.000000,8800.000000,8231.351563,9297000
2019-10-08,8820.000000,9000.000000,8820.000000,8945.000000,8366.984375,7417000
2019-10-09,8840.000000,8905.000000,8840.000000,8840.000000,8268.767578,3110000
2019-10-10,8870.000000,8895.000000,8775.000000,8775.000000,8207.968750,4056500
2019-10-11,8780.000000,8835.000000,8780.000000,8835.000000,8264.090820,3231000
2019-10-14,8840.000000,8945.000000,8820.000000,8900.000000,8324.891602,5184000
2019-10-15,8900.000000,8995.000000,8880.000000,8950.000000,8371.660156,7670000
2019-10-16,8970.000000,9120.000000,8970.000000,9120.000000,8530.674805,9784500
2019-10-17,9120.000000,9200.000000,8950.000000,8950.000000,8371.660156,13035500
2019-10-18,8950.000000,8950.000000,8540.000000,8625.000000,8067.660645,21716000
2019-10-21,8625.000000,8700.000000,8625.000000,8685.000000,8123.784180,6865500
2019-10-22,8685.000000,8795.000000,8680.000000,8790.000000,8221.999023,12824000
